Label,Amount,Direction,Open price,Close price,Profit/Loss,Profit/Loss in pips,Open date,Close date,Comment
nextDay_SELL_2731,0.02,SELL,1.55429,1.55925,-99.2,-49.6,3/13/2008 6:59,3/13/2008 10:39,
nextDay_SELL_2732,0.02,SELL,1.55429,1.55925,-99.2,-49.6,3/13/2008 6:59,3/13/2008 10:39,
nextDay_SELL_2733,0.01,SELL,1.56026,1.55654,37.2,37.2,3/14/2008 3:31,3/14/2008 10:10,
nextDay_BUY_2734,0.16,BUY,1.56022,1.55644,-604.8,-37.8,3/14/2008 7:58,3/14/2008 10:10,
nextDay_SELL_2735,0.01,SELL,1.55644,1.5619,-54.6,-54.6,3/14/2008 10:10,3/14/2008 15:11,
nextDay_SELL_2736,0.02,SELL,1.55644,1.5619,-109.2,-54.6,3/14/2008 10:10,3/14/2008 15:11,
nextDay_SELL_2737,0.01,SELL,1.57748,1.58085,-33.7,-33.7,3/18/2008 3:31,3/18/2008 10:15,
nextDay_BUY_2738,0.105,BUY,1.57839,1.5808,253.05,24.1,3/18/2008 6:20,3/18/2008 10:15,
nextDay_BUY_2739,0.21,BUY,1.57839,1.5808,506.1,24.1,3/18/2008 6:20,3/18/2008 10:15,
nextDay_SELL_2740,0.2,SELL,1.57556,1.58085,-1058,-52.9,3/18/2008 8:20,3/18/2008 10:15,
nextDay_SELL_2741,0.4,SELL,1.57556,1.58085,-2116,-52.9,3/18/2008 8:20,3/18/2008 10:15,
nextDay_SELL_2744,1.6,SELL,1.55689,1.54636,16848,105.3,3/20/2008 7:20,3/20/2008 9:52,
nextDay_BUY_2742,0.02,BUY,1.55822,1.54539,-256.6,-128.3,3/20/2008 3:31,3/20/2008 11:08,
nextDay_SELL_2743,0.8,SELL,1.55689,1.54513,9408,117.6,3/20/2008 7:20,3/20/2008 12:11,
nextDay_BUY_2745,0.82,BUY,1.54603,1.54503,-820,-10,3/20/2008 11:08,3/20/2008 12:11,
nextDay_BUY_2746,0.41,BUY,1.54513,1.54446,-274.7,-6.7,3/20/2008 12:11,3/20/2008 12:11,
nextDay_BUY_2747,0.82,BUY,1.54513,1.54446,-549.4,-6.7,3/20/2008 12:11,3/20/2008 12:11,
nextDay_BUY_2748,0.03,BUY,1.54261,1.54429,50.4,16.8,3/21/2008 3:31,3/21/2008 15:11,
nextDay_SELL_2749,0.82,SELL,1.54263,1.54439,-1443.2,-17.6,3/21/2008 11:00,3/21/2008 15:11,
nextDay_SELL_2750,0.01,SELL,1.55374,1.55754,-38,-38,3/25/2008 3:31,3/25/2008 13:49,
nextDay_SELL_2751,0.001,SELL,1.55374,1.55842,-4.68,-46.8,3/25/2008 3:31,3/25/2008 15:11,
nextDay_BUY_2752,0.11,BUY,1.55446,1.55837,430.1,39.1,3/25/2008 7:17,3/25/2008 15:11,
nextDay_BUY_2753,0.001,BUY,1.55446,1.55837,3.91,39.1,3/25/2008 7:17,3/25/2008 15:11,
nextDay_SELL_2754,0.02,SELL,1.58072,1.57879,38.6,19.3,3/27/2008 3:31,3/27/2008 6:12,
nextDay_SELL_2755,1.68,SELL,1.57863,1.57936,-1226.4,-7.3,3/27/2008 6:12,3/27/2008 10:09,
nextDay_SELL_2756,1.68,SELL,1.57863,1.57936,-1226.4,-7.3,3/27/2008 6:12,3/27/2008 10:09,
nextDay_SELL_2757,0.01,SELL,1.57885,1.57717,16.8,16.8,3/28/2008 3:31,3/28/2008 6:55,
nextDay_SELL_2758,1.62,SELL,1.57697,1.57912,-3483,-21.5,3/28/2008 6:55,3/28/2008 10:00,
nextDay_SELL_2759,1.62,SELL,1.57697,1.57912,-3483,-21.5,3/28/2008 6:55,3/28/2008 10:00,
